ID_IE,department,urban.rural,treatment,Ttl_teaching_periods,Teaching_Grade,Work_Shift_G7,Multigrade_G7,Teaching_other_subject_G7,Year_Start_teach,Year_Start_this_school,Teachr_Qualification__1,Teachr_Qualification__2,Teachr_Qualification__3,Teachr_Qualification__4,Teachr_Qualification__5,Teachr_Qualification__6,Teachr_Qualification__7,Teachr_Qualification__8,Teachr_Apontmt_Post__1,Teachr_Apontmt_Post__2,Teachr_Apontmt_Post__3,Teachr_Apontmt_Post__4,Inductive_Training,Classroom_Situation__1,Classroom_Situation__2,Classroom_Situation__3,Classroom_Situation__4,No_Students_F_G7,No_Students_M_G7,No_Students_Ttl_G7,Grade,No_Students_Female,No_Students_Male,Total_No_Students,treatment_d,Teacher_Sex,Highest_Degree_highschool,Highest_Degree_professorate,Highest_Degree_bachelor,Highest_Degree_master,Highest_Degree_doctor,Work_Shift_G7_morning,Work_Shift_G7_afternoon,Work_Shift_G7_both,Year_Start_teach_r,Teacher_Age
590352,SAN VICENTE,Rural,Treatment,25,0,2,2,0,2001,2004,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,3,14,17,7,3,14,17,1,0,0,1,0,0,0,0,1,0,18,50
584109,SAN VICENTE,Urbana,Treatment,5,0,1,2,1,2002,2013,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,6,8,7,1,4,5,1,0,0,1,0,0,0,1,0,0,17,41
581967,SAN VICENTE,Urbana,Treatment,25,0,1,2,1,2013,2015,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,5,17,22,7,5,17,22,1,1,0,1,0,0,0,1,0,0,6,30
587010,SAN VICENTE,Rural,Treatment,5,0,2,2,1,1990,1993,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,1,0,19,17,36,7,17,11,28,1,0,0,0,1,0,0,0,1,0,29,50
583247,SAN VICENTE,Urbana,Treatment,35,0,1,2,0,1992,1999,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,24,11,35,7,22,10,32,1,0,0,1,0,0,0,1,0,0,27,48
612014,SAN VICENTE,Urbana,Control,30,0,1,2,0,1984,2001,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,7,9,16,7,6,8,14,0,0,0,0,1,0,0,1,0,0,35,53
621689,SAN VICENTE,Rural,Control,25,0,3,2,0,2008,2011,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,9,12,21,7,9,11,20,0,0,0,1,0,0,0,0,0,1,11,31
618647,SAN VICENTE,Rural,Control,38,0,2,2,0,1998,2005,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,7,7,14,7,6,7,13,0,1,0,1,0,0,0,0,1,0,21,50
619771,SAN VICENTE,Rural,Control,50,0,2,2,0,2002,2018,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,5,10,15,7,5,10,15,0,1,0,1,0,0,0,0,1,0,17,30
615529,SAN VICENTE,Rural,Control,6,0,2,2,0,1988,1998,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,23,10,33,7,8,20,28,0,0,0,1,0,0,0,0,1,0,31,54
589068,SAN VICENTE,Rural,Treatment,9,0,1,2,1,1983,1983,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,10,12,22,7,10,10,20,1,1,0,1,0,0,0,1,0,0,36,58
618222,SAN VICENTE,Rural,Control,25,0,1,2,0,2011,2015,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,10,9,19,7,10,7,17,0,1,0,1,0,0,0,1,0,0,8,29
586071,SAN VICENTE,Rural,Treatment,50,0,2,2,0,2004,2004,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,25,22,47,7,23,21,44,1,0,0,1,0,0,0,0,1,0,15,43
584107,SAN VICENTE,Urbana,Treatment,25,0,1,2,0,1994,2015,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,14,24,38,7,14,19,33,1,1,0,0,1,0,0,1,0,0,25,46
621226,SAN VICENTE,Rural,Control,50,0,1,2,0,2013,2018,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,8,6,14,7,7,6,13,0,1,0,1,0,0,0,1,0,0,6,31
612525,SAN VICENTE,Urbana,Control,25,0,1,2,0,2012,2015,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,15,9,24,7,13,7,20,0,0,0,1,0,0,0,1,0,0,7,32
618750,SAN VICENTE,Rural,Control,25,0,2,2,1,2013,2016,0,1,0,1,0,0,0,0,0,0,1,0,2,1,1,1,1,7,11,18,7,5,11,16,0,1,0,0,1,0,0,0,1,0,6,27
406682,SAN MIGUEL,Urbana,Treatment,5,0,1,2,0,1996,2007,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,19,26,45,7,16,16,32,1,1,0,0,1,0,0,1,0,0,23,62
408363,SAN MIGUEL,Rural,Treatment,5,0,1,2,0,2003,2012,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,16,16,32,7,16,15,31,1,0,0,1,0,0,0,1,0,0,16,38
409786,SAN MIGUEL,Rural,Treatment,25,0,1,2,0,2002,2014,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,3,8,11,7,3,8,11,1,1,0,1,0,0,0,1,0,0,17,37
421656,SAN MIGUEL,Urbana,Control,25,0,1,2,0,1992,1992,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,1,0,25,10,35,7,15,10,25,0,1,0,0,1,0,0,1,0,0,27,49
425315,SAN MIGUEL,Rural,Control,25,0,1,2,0,1978,2012,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,4,11,7,6,3,9,0,1,0,0,1,0,0,1,0,0,41,60
411211,SAN MIGUEL,Rural,Treatment,50,0,1,2,0,2001,2006,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,15,10,25,7,15,10,25,1,1,0,1,0,0,0,1,0,0,18,46
413628,SAN MIGUEL,Rural,Treatment,40,0,2,2,0,2012,2018,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,6,10,16,7,6,9,15,1,1,0,0,1,0,0,0,1,0,7,26
425149,SAN MIGUEL,Rural,Control,25,0,1,2,0,1998,2009,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,6,5,11,7,6,5,11,0,0,0,1,0,0,0,1,0,0,21,43
413284,SAN MIGUEL,Rural,Treatment,25,0,2,2,0,2002,2007,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,9,6,15,7,9,6,15,1,1,0,1,0,0,0,0,1,0,17,43
423312,SAN MIGUEL,Rural,Control,37,0,1,2,0,2008,2015,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,15,14,29,7,14,14,28,0,0,0,1,0,0,0,1,0,0,11,37
412040,SAN MIGUEL,Rural,Treatment,50,0,2,2,0,1992,1992,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,16,11,27,7,14,10,24,1,1,0,0,1,0,0,0,1,0,27,46
411473,SAN MIGUEL,Rural,Treatment,25,0,1,2,0,2001,2008,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,15,10,25,7,15,9,24,1,1,0,1,0,0,0,1,0,0,18,40
426570,SAN MIGUEL,Rural,Control,25,0,2,2,0,2003,2004,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,3,14,17,7,3,8,11,0,0,0,1,0,0,0,0,1,0,16,43
430323,SAN MIGUEL,Rural,Control,5,0,1,2,0,2012,2018,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,0,15,11,26,7,13,9,22,0,1,0,0,0,1,0,1,0,0,7,31
430336,SAN MIGUEL,Rural,Control,25,0,2,2,0,1996,2004,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,12,13,25,7,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,23,46
426535,SAN MIGUEL,Rural,Control,50,0,2,2,0,1977,1989,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,10,19,7,8,9,17,0,1,1,0,0,0,0,0,1,0,42,60
425856,SAN MIGUEL,Rural,Control,1,0,1,1,1,2016,2017,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,4,5,9,7,3,5,8,0,1,0,1,0,0,0,1,0,0,3,24
424869,SAN MIGUEL,Urbana,Control,25,0,1,2,0,2010,2013,1,1,0,0,0,0,1,0,0,0,1,0,2,1,1,0,0,11,13,24,7,10,11,21,0,0,0,1,0,0,0,1,0,0,9,34
